"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
145,27 Nov 2023 01:38:14.650,27 Nov 2023 01:54:41.431,986.781
146,27 Nov 2023 03:35:04.139,27 Nov 2023 04:00:39.613,1535.475
147,27 Nov 2023 05:34:29.215,27 Nov 2023 06:04:40.112,1810.897
148,27 Nov 2023 07:35:25.882,27 Nov 2023 08:07:14.019,1908.137
149,27 Nov 2023 09:37:56.345,27 Nov 2023 10:07:40.840,1784.495
150,27 Nov 2023 11:43:46.440,27 Nov 2023 12:04:29.386,1242.946
151,28 Nov 2023 00:29:07.353,28 Nov 2023 00:29:54.836,47.483
152,28 Nov 2023 02:20:17.850,28 Nov 2023 02:41:07.208,1249.358
153,28 Nov 2023 04:18:34.703,28 Nov 2023 04:45:54.366,1639.663
154,28 Nov 2023 06:18:38.764,28 Nov 2023 06:49:22.589,1843.825
155,28 Nov 2023 08:20:05.818,28 Nov 2023 08:51:08.528,1862.711
156,28 Nov 2023 10:23:37.937,28 Nov 2023 10:50:12.497,1594.560
157,28 Nov 2023 12:36:08.979,28 Nov 2023 12:40:39.077,270.098
158,29 Nov 2023 01:06:29.451,29 Nov 2023 01:20:41.336,851.885
159,29 Nov 2023 03:03:07.947,29 Nov 2023 03:26:35.788,1407.841
160,29 Nov 2023 05:02:17.814,29 Nov 2023 05:30:45.621,1707.807
161,29 Nov 2023 07:02:52.119,29 Nov 2023 07:33:36.668,1844.549
162,29 Nov 2023 09:04:58.153,29 Nov 2023 09:34:18.888,1760.735
163,29 Nov 2023 11:10:33.094,29 Nov 2023 11:31:11.905,1238.811
164,30 Nov 2023 01:48:14.781,30 Nov 2023 02:06:47.849,1113.068
165,30 Nov 2023 03:46:20.817,30 Nov 2023 04:11:33.581,1512.764
166,30 Nov 2023 05:46:06.968,30 Nov 2023 06:15:13.090,1746.122
167,30 Nov 2023 07:47:10.940,30 Nov 2023 08:17:14.702,1803.762
168,30 Nov 2023 09:50:21.966,30 Nov 2023 10:16:29.466,1567.501
169,1 Dec 2023 00:34:20.914,1 Dec 2023 00:46:11.818,710.903
170,1 Dec 2023 02:30:48.249,1 Dec 2023 02:51:57.158,1268.908
171,1 Dec 2023 04:29:45.156,1 Dec 2023 04:56:08.539,1583.383
172,1 Dec 2023 06:29:59.736,1 Dec 2023 06:59:11.351,1751.615
173,1 Dec 2023 08:31:43.836,1 Dec 2023 09:00:06.438,1702.602
174,1 Dec 2023 10:37:07.016,1 Dec 2023 10:57:00.497,1193.481
175,2 Dec 2023 01:15:46.721,2 Dec 2023 01:32:00.077,973.356
176,2 Dec 2023 03:13:43.926,2 Dec 2023 03:36:36.530,1372.604
177,2 Dec 2023 05:13:14.891,2 Dec 2023 05:40:19.660,1624.770
178,2 Dec 2023 07:13:58.776,2 Dec 2023 07:42:32.105,1713.329
179,2 Dec 2023 09:16:51.871,2 Dec 2023 09:41:54.722,1502.851
